mmsi,lat,lon,speed,course,timestamp,speed_diff,course_diff,anomaly
250001048,52.34014833333333,-6.459975,0,0,2025-04-07T11:05:44.686Z,0,0,1
211517290,51.86559166666667,4.2794566666666665,0,0,2025-04-07T11:05:44.698Z,0,0,1
244730014,52.58860666666667,4.754503333333333,0,0,2025-04-07T11:05:44.704Z,0,0,1
227820970,47.74706166666667,-3.348485,0,0,2025-04-07T11:05:44.717Z,0,0,1
244750892,51.54415166666667,3.8655616666666655,0,0,2025-04-07T11:05:44.721Z,0,0,1
304839000,24.332315,-75.47597,0,0,2025-04-07T11:05:44.730Z,0,0,1
247051950,45.37358,12.950723333333334,0,0,2025-04-07T11:05:44.740Z,0,0,1
250004944,51.41733833333333,-9.706705,0,0,2025-04-07T11:05:44.742Z,0,0,1
224181370,39.46029333333333,-0.3312783333333333,0,0,2025-04-07T11:05:44.744Z,0,0,1
636020902,49.829345,-5.695843333333333,0,0,2025-04-07T11:05:44.745Z,0,0,1
231477000,62.006875,-6.773985,0,0,2025-04-07T11:05:44.755Z,0,0,1
210422000,58.11341,7.971909999999999,0,0,2025-04-07T11:05:44.757Z,0,0,1
244780350,52.37710166666667,4.898759999999999,0,0,2025-04-07T11:05:44.768Z,0,0,1
228430600,49.85635833333333,0.2585933333333333,0,0,2025-04-07T11:05:44.771Z,0,0,1
244700503,52.39082666666666,4.886613333333333,0,0,2025-04-07T11:05:44.782Z,0,0,1
368292770,38.963721666666665,-76.48145,0,0,2025-04-07T11:05:44.794Z,0,0,1
215137000,31.736563333333333,-79.94955333333334,0,0,2025-04-07T11:05:44.800Z,0,0,1
563249500,-34.32230333333334,18.09425666666667,0,0,2025-04-07T11:05:44.800Z,0,0,1
211747930,53.89382666666667,9.143903333333332,0,0,2025-04-07T11:05:44.800Z,0,0,1
367015670,41.604416666666665,-71.39598333333333,0,0,2025-04-07T11:05:44.801Z,0,0,1
230703000,60.07930833333333,20.838106666666665,0,0,2025-04-07T11:05:44.810Z,0,0,1
538004749,54.53461166666667,18.532108333333333,0,0,2025-04-07T11:05:44.812Z,0,0,1
316030879,44.66053166666666,-63.58439833333333,0,0,2025-04-07T11:05:44.818Z,0,0,1
239824900,37.940781666666666,23.670241666666666,0,0,2025-04-07T11:05:44.823Z,0,0,1
244750261,52.38366166666666,4.89355,0,0,2025-04-07T11:05:44.835Z,0,0,1
250005692,51.04181166666667,2.27226,0,0,2025-04-07T11:05:44.836Z,0,0,1
354123000,47.76974,-5.552576666666667,0,0,2025-04-07T11:05:44.837Z,0,0,1
235064784,50.755915,-1.5286066666666664,0,0,2025-04-07T11:05:44.840Z,0,0,1
257845600,59.40928666666667,10.512276666666668,0,0,2025-04-07T11:05:44.846Z,0,0,1
235117191,50.90712333333333,-1.443715,0,0,2025-04-07T11:05:44.857Z,0,0,1
265069650,61.63572666666666,18.210751666666667,0,0,2025-04-07T11:05:44.859Z,0,0,1
258573000,60.20897833333333,5.538306666666667,0,0,2025-04-07T11:05:44.860Z,0,0,1
636022047,56.64954,7.411423333333333,0,0,2025-04-07T11:05:44.862Z,0,0,1
219018788,54.55984,11.52255,0,0,2025-04-07T11:05:44.878Z,0,0,1
244780345,52.37882166666667,4.889231666666666,0,0,2025-04-07T11:05:44.880Z,0,0,1
211788910,53.52625,10.002516666666668,0,0,2025-04-07T11:05:44.882Z,0,0,1
366899290,40.10657166666667,-74.04950166666666,0,0,2025-04-07T11:05:44.886Z,0,0,1
218627000,55.955815,-4.761259999999999,0,0,2025-04-07T11:05:44.889Z,0,0,1
215525000,35.83148833333333,14.549135,0,0,2025-04-07T11:05:44.892Z,0,0,1
244170721,51.92432,4.1039433333333335,0,0,2025-04-07T11:05:44.894Z,0,0,1
257269420,59.337185,5.301021666666667,0,0,2025-04-07T11:05:44.895Z,0,0,1
276260000,59.45789,24.70823333333333,0,0,2025-04-07T11:05:44.902Z,0,0,1
244730009,53.32257166666667,6.91994,0,0,2025-04-07T11:05:44.903Z,0,0,1
352002302,37.972345,15.57952,0,0,2025-04-07T11:05:44.907Z,0,0,1
316032807,36.69584833333333,-2.791885,0,0,2025-04-07T11:05:44.934Z,0,0,1
211760030,53.53509333333333,9.95459,0,0,2025-04-07T11:05:44.936Z,0,0,1
219000158,56.03725,12.615746666666666,0,0,2025-04-07T11:05:44.947Z,0,0,1
353934000,49.759285,-3.123828333333333,0,0,2025-04-07T11:05:44.947Z,0,0,1
244093305,52.59352,5.744348333333334,0,0,2025-04-07T11:05:44.949Z,0,0,1
270976000,50.84650166666667,6.983549999999999,0,0,2025-04-07T11:05:44.949Z,0,0,1
636015406,33.60339333333334,-7.610955000000001,0,0,2025-04-07T11:05:44.966Z,0,0,1
730151041,10.370143333333337,-75.50895166666666,0,0,2025-04-07T11:05:44.967Z,0,0,1
211212680,54.436861666666665,10.458591666666669,0,0,2025-04-07T11:05:44.970Z,0,0,1
230688000,57.69873833333334,7.653356666666666,0,0,2025-04-07T11:05:44.973Z,0,0,1
235089188,55.12190833333333,-1.494341666666667,0,0,2025-04-07T11:05:44.973Z,0,0,1
219226000,38.708733333333335,-9.106033333333333,0,0,2025-04-07T11:05:44.989Z,0,0,1
503045490,39.54802333333334,2.6336950000000003,0,0,2025-04-07T11:05:44.989Z,0,0,1
211665650,50.92901666666667,6.972006666666667,0,0,2025-04-07T11:05:44.990Z,0,0,1
538005402,45.56812333333333,13.685018333333334,0,0,2025-04-07T11:05:44.992Z,0,0,1
247601000,36.124053333333336,-5.0420050000000005,0,0,2025-04-07T11:05:44.995Z,0,0,1
244830776,51.983975,5.456528333333334,0,0,2025-04-07T11:05:44.996Z,0,0,1
228240600,46.59081166666667,-3.0292383333333333,0,0,2025-04-07T11:05:45.005Z,0,0,1
211138120,52.06708,5.092506666666667,0,0,2025-04-07T11:05:45.007Z,0,0,1
211233660,53.536385,8.577441666666665,0,0,2025-04-07T11:05:45.010Z,0,0,1
219024336,56.036188333333335,12.628016666666667,0,0,2025-04-07T11:05:45.011Z,0,0,1
257510000,50.876155,1.46864,0,0,2025-04-07T11:05:45.015Z,0,0,1
235085696,51.44543166666666,0.3744166666666667,0,0,2025-04-07T11:05:45.016Z,0,0,1
244731419,52.77865166666666,6.09424,0,0,2025-04-07T11:05:45.018Z,0,0,1
345090027,20.51222,-86.95139333333333,0,0,2025-04-07T11:05:45.020Z,0,0,1
211588680,53.52597333333333,10.002108333333332,0,0,2025-04-07T11:05:45.042Z,0,0,1
211178390,52.49173666666666,13.486498333333332,0,0,2025-04-07T11:05:45.048Z,0,0,1
477849400,50.462725,-1.64715,0,0,2025-04-07T11:05:45.049Z,0,0,1
271048519,42.632873333333336,30.342025,0,0,2025-04-07T11:05:45.053Z,0,0,1
244750601,51.82064,4.765381666666667,0,0,2025-04-07T11:05:45.061Z,0,0,1
235101062,55.97211666666667,-4.90185,0,0,2025-04-07T11:05:45.063Z,0,0,1
211693090,51.83784333333333,6.17519,0,0,2025-04-07T11:05:45.064Z,0,0,1
